campaign_id,campaign_name,client,channel,objective,start_date,end_date,budget,status
15,Verdant Foods — App Install (Paid) Q3,Verdant Foods,Paid Social,App Install,2024-08-22,2024-09-23,31540.49,Completed
16,Helix Health — Brand Awareness (Disp) Q4,Helix Health,Display,Brand Awareness,2024-10-02,2024-11-18,15664.81,Completed
17,Solstice Sports — Retargeting (Prog) Q2,Solstice Sports,Programmatic,Retargeting,2024-04-22,2024-05-23,12387.41,Completed
18,BlueLine Finance — Retargeting (Prog) Q1,BlueLine Finance,Programmatic,Retargeting,2024-02-26,2024-03-30,19871.43,Completed
19,Solstice Sports — App Install (Paid) Q3,Solstice Sports,Paid Social,App Install,2024-07-14,2024-10-12,6905.83,Completed
20,Redwood Insurance — App Install (Vide) Q1,Redwood Insurance,Video,App Install,2024-01-06,2024-02-03,53038.99,Completed
21,Pinnacle Tech — Retargeting (Prog) Q3,Pinnacle Tech,Programmatic,Retargeting,2024-08-10,2024-09-13,6342.6,Completed
22,Crestwood Media — Brand Awareness (Vide) Q2,Crestwood Media,Video,Brand Awareness,2024-04-01,2024-06-18,58594.4,Completed
23,Redwood Insurance — Conversions (Paid) Q1,Redwood Insurance,Paid Search,Conversions,2024-03-19,2024-05-19,30531.9,Completed
24,Solstice Sports — Brand Awareness (Paid) Q1,Solstice Sports,Paid Social,Brand Awareness,2024-01-10,2024-02-07,14724.68,Completed
25,Helix Health — Retargeting (Disp) Q4,Helix Health,Display,Retargeting,2024-10-17,2024-11-10,3984.73,Completed
26,BlueLine Finance — Conversions (Paid) Q3,BlueLine Finance,Paid Search,Conversions,2024-09-29,2024-10-29,44185.43,Completed
27,Redwood Insurance — App Install (Paid) Q3,Redwood Insurance,Paid Social,App Install,2024-09-27,2024-12-04,9953.81,Active
28,Crestwood Media — Conversions (Paid) Q3,Crestwood Media,Paid Social,Conversions,2024-07-10,2024-09-18,16969.77,Completed
29,BlueLine Finance — Retargeting (Prog) Q1,BlueLine Finance,Programmatic,Retargeting,2024-02-02,2024-03-30,9206.02,Completed
30,Solstice Sports — Lead Generation (Paid) Q1,Solstice Sports,Paid Search,Lead Generation,2024-02-06,2024-02-27,16148.04,Completed
31,NovaSpark Retail — Brand Awareness (Paid) Q1,NovaSpark Retail,Paid Social,Brand Awareness,2024-02-06,2024-04-25,30789.06,Completed
32,Aurora Fashion — Retargeting (Paid) Q1,Aurora Fashion,Paid Social,Retargeting,2024-03-08,2024-06-03,11427.1,Completed
33,Helix Health — Retargeting (Prog) Q3,Helix Health,Programmatic,Retargeting,2024-07-27,2024-09-03,20477.01,Completed
34,Verdant Foods — Lead Generation (Paid) Q3,Verdant Foods,Paid Search,Lead Generation,2024-07-29,2024-10-10,21109.01,Completed
35,NovaSpark Retail — Lead Generation (Paid) Q2,NovaSpark Retail,Paid Search,Lead Generation,2024-06-22,2024-07-19,22896.99,Completed
36,Helix Health — Conversions (Paid) Q1,Helix Health,Paid Social,Conversions,2024-03-12,2024-05-19,21088.57,Completed
37,Aurora Fashion — Retargeting (Paid) Q1,Aurora Fashion,Paid Social,Retargeting,2024-02-08,2024-04-18,12494.19,Completed
38,NovaSpark Retail — Brand Awareness (Prog) Q4,NovaSpark Retail,Programmatic,Brand Awareness,2024-10-03,2024-10-18,17695.04,Completed
39,Orbit Travel — Lead Generation (Paid) Q3,Orbit Travel,Paid Search,Lead Generation,2024-09-03,2024-10-14,23037.32,Completed
40,Orbit Travel — Brand Awareness (Vide) Q3,Orbit Travel,Video,Brand Awareness,2024-07-18,2024-09-03,28948.66,Completed
41,Verdant Foods — App Install (Vide) Q4,Verdant Foods,Video,App Install,2024-10-11,2024-12-26,44829.58,Active
42,Crestwood Media — Conversions (Paid) Q1,Crestwood Media,Paid Social,Conversions,2024-01-30,2024-04-27,11531.03,Completed
43,Pinnacle Tech — Brand Awareness (Prog) Q4,Pinnacle Tech,Programmatic,Brand Awareness,2024-10-26,2024-12-31,5200.47,Active
44,NovaSpark Retail — Brand Awareness (Prog) Q1,NovaSpark Retail,Programmatic,Brand Awareness,2024-02-11,2024-03-19,24176.36,Completed
45,Helix Health — Lead Generation (Paid) Q4,Helix Health,Paid Search,Lead Generation,2024-10-18,2024-12-02,22939.7,Active
46,Solstice Sports — Brand Awareness (Prog) Q4,Solstice Sports,Programmatic,Brand Awareness,2024-10-25,2024-12-31,5721.65,Active
47,Crestwood Media — Retargeting (Prog) Q2,Crestwood Media,Programmatic,Retargeting,2024-06-09,2024-07-23,8289.44,Completed
48,Orbit Travel — Retargeting (Disp) Q2,Orbit Travel,Display,Retargeting,2024-06-02,2024-08-13,14418.73,Completed
49,NovaSpark Retail — Brand Awareness (Disp) Q4,NovaSpark Retail,Display,Brand Awareness,2024-10-15,2024-11-10,10790.85,Completed
50,Redwood Insurance — Lead Generation (Paid) Q2,Redwood Insurance,Paid Search,Lead Generation,2024-06-27,2024-07-19,17812.42,Completed
51,Crestwood Media — Retargeting (Paid) Q4,Crestwood Media,Paid Social,Retargeting,2024-10-05,2024-11-26,9732.4,Completed
52,Redwood Insurance — Brand Awareness (Prog) Q1,Redwood Insurance,Programmatic,Brand Awareness,2024-02-23,2024-03-25,10286.95,Completed
